subject,trial,visual_size,visual_brightness,audio_pitch,audio_location,button,RT,LeftAnsMark
000,791,0,0,2,3,1,432,left
000,792,1,1,1,5,1,404,left
000,793,1,2,1,1,1,469,left
000,794,2,2,2,1,1,399,left
000,795,1,1,2,3,1,390,left
000,796,1,2,2,1,1,394,left
000,797,0,0,1,1,1,744,left
000,798,2,2,2,5,2,434,right
000,799,2,1,2,1,1,461,left
000,800,2,1,2,5,2,340,right
000,801,1,2,2,3,1,337,left
000,802,0,0,1,4,1,439,left
000,803,1,1,2,2,1,307,left
000,804,2,2,2,2,1,539,left
000,805,2,2,1,5,2,496,right
000,806,1,2,2,2,1,430,left
000,807,1,2,1,3,1,490,left
000,808,1,1,2,1,1,423,left
000,809,2,2,1,3,1,618,left
000,810,1,2,1,3,1,555,left
000,811,1,1,2,2,1,498,left
000,812,1,2,2,4,2,455,right
000,813,0,0,1,4,1,445,left
000,814,2,1,1,5,2,413,right
000,815,2,1,2,4,2,566,right
000,816,1,2,1,5,1,463,left
000,817,2,2,1,2,1,463,left
000,818,2,1,1,1,1,351,left
000,819,0,0,2,3,2,382,right
000,820,2,1,1,2,1,346,left
000,821,0,0,1,3,1,353,left
000,822,1,2,2,4,2,465,right
000,823,2,1,1,5,2,354,right
000,824,1,1,1,2,1,312,left
000,825,1,2,1,1,1,298,left
000,826,2,1,2,3,2,496,right
000,827,2,1,2,2,1,334,left
000,828,1,2,2,5,2,396,right
000,829,1,1,1,5,1,427,left
000,830,0,0,2,1,1,375,left
000,831,1,2,2,5,2,387,right
000,832,2,1,2,3,1,376,left
000,833,2,2,1,1,1,324,left
000,834,2,1,1,2,1,367,left
000,835,2,2,2,1,1,424,left
000,836,1,1,2,4,2,602,right
000,837,2,1,1,4,1,472,left
000,838,1,2,1,1,2,448,right
000,839,2,1,2,5,1,552,left
000,840,1,2,1,2,1,189,left
000,841,1,1,2,3,1,326,left
000,842,2,2,2,3,1,473,left
000,843,1,2,1,4,1,574,left
000,844,1,2,2,1,1,519,left
000,845,2,2,1,4,1,391,left
000,846,0,0,2,4,2,717,right
000,847,1,1,2,3,1,398,left
000,848,2,2,2,4,1,405,left
000,849,0,0,1,4,1,445,left
000,850,1,2,1,5,2,361,right
000,851,2,1,1,2,1,401,left
000,852,2,1,2,3,1,430,left
000,853,0,0,1,5,2,362,right
000,854,1,1,2,1,1,305,left
000,855,2,2,1,5,2,498,right
000,856,0,0,2,2,1,424,left
000,857,0,0,1,3,2,434,right
000,858,1,2,2,2,1,352,left
000,859,0,0,1,3,2,327,right
000,860,2,2,1,1,1,324,left
000,861,1,1,2,1,1,335,left
000,862,0,0,2,2,1,421,left
000,863,2,1,1,4,2,319,right
000,864,2,1,1,5,2,427,right
000,865,0,0,1,1,2,384,right
000,866,0,0,2,5,2,374,right
000,867,0,0,2,4,2,353,right
000,868,2,1,1,3,1,425,left
000,869,2,2,2,3,1,469,left
000,870,2,2,1,4,1,551,left
000,871,0,0,1,2,1,551,left
000,872,2,1,1,1,1,621,left
000,873,2,2,1,3,1,744,left
000,874,2,2,1,1,1,369,left
000,875,2,2,2,1,1,380,left
000,876,0,0,1,2,1,432,left
000,877,0,0,2,4,2,398,right
000,878,0,0,2,3,2,348,right
000,879,1,1,1,3,1,444,left
000,880,2,2,2,2,1,347,left
000,881,1,1,1,4,2,360,right
000,882,0,0,2,5,2,385,right
000,883,1,2,2,4,1,310,left
000,884,0,0,1,5,2,449,right
000,885,2,1,1,1,1,367,left
000,886,0,0,2,1,1,385,left
000,887,2,2,2,5,2,302,right
000,888,1,1,2,4,2,325,right
000,889,2,2,2,4,2,392,right
000,890,1,2,1,2,1,426,left
000,891,2,1,2,4,2,319,right
000,892,1,2,1,3,1,381,left
000,893,1,1,1,4,1,411,left
000,894,1,1,1,3,1,413,left
000,895,1,1,1,3,2,456,right
000,896,0,0,1,5,2,334,right
000,897,1,2,2,3,2,560,right
000,898,2,2,1,2,1,368,left
000,899,1,2,2,1,1,362,left
000,900,2,2,1,3,2,354,right
000,901,2,2,2,5,2,435,right
000,902,0,0,2,4,2,398,right
000,903,1,2,1,3,1,315,left
000,904,1,1,1,3,1,314,left
000,905,1,2,2,4,1,476,left
000,906,2,1,2,5,2,351,right
000,907,1,2,2,2,1,335,left
000,908,1,1,2,3,1,516,left
000,909,0,0,1,5,2,331,right
000,910,2,2,1,1,1,381,left
000,911,2,1,2,4,2,369,right
000,912,1,1,2,2,1,314,left
000,913,1,2,2,4,2,385,right
000,914,1,2,2,1,1,356,left
000,915,1,1,2,4,2,369,right
000,916,1,2,1,2,1,370,left
000,917,2,1,2,2,1,434,left
000,918,2,1,1,1,1,372,left
000,919,0,0,1,3,2,392,right
000,920,2,2,2,4,2,429,right
000,921,1,2,1,4,1,398,left
000,922,2,1,2,1,1,409,left
000,923,0,0,2,4,2,439,right
000,924,2,1,2,3,1,436,left
000,925,1,1,2,1,2,584,right
000,926,2,2,1,4,1,499,left
000,927,2,1,2,3,2,401,right
000,928,2,2,2,1,1,504,left
000,929,0,0,2,2,1,565,left
000,930,2,1,2,2,2,429,right
000,931,0,0,2,5,2,399,right
000,932,1,1,1,2,1,445,left
000,933,2,2,1,4,1,465,left
000,934,0,0,2,3,2,481,right
000,935,1,1,1,4,2,483,right
000,936,2,2,2,5,2,478,right
000,937,0,0,2,4,2,496,right
000,938,2,1,2,5,2,349,right
000,939,1,1,2,2,1,329,left
000,940,1,1,1,4,2,523,right
000,941,0,0,1,2,1,435,left
000,942,1,1,2,5,2,334,right
